Index,Provenance,22/4/04,29/04/04,06/05/04,13/05/04
269,DENMARK Grasten,1,3,4,6
270,"GB Westfield, Moray",1,3,6,7
271,"GB Westfield, Moray",1,1,2,3
272,"GB Westfield, Moray",1,2,4,7
273,"GB Westfield, Moray",1,1,2,5
274,"GB Westfield, Moray",1,1,2,6
275,"GB Westfield, Moray",1,2,3,6
276,Sonning Common (control),1,1,2,5
277,Sonning Common (control),1,2,4,6
278,Sonning Common (control),1,2,2,4
279,Sonning Common (control),1,1,3,6
280,Sonning Common (control),1,3,4,6
281,Sonning Common (control),1,2,4,5
282,FRANCE Plateaux du,1,2,2,5
283,FRANCE Plateaux du,1,3,5,7
284,FRANCE Plateaux du,1,5,6,7
285,FRANCE Plateaux du,1,3,5,6
286,FRANCE Plateaux du,1,2,4,6
287,FRANCE Plateaux du,1,2,4,6
288,AUSTRIA Hinterstoder,1,1,1,3
289,AUSTRIA Hinterstoder,2,5,7,7
290,AUSTRIA Hinterstoder,2,4,6,7
291,AUSTRIA Hinterstoder,1,5,6,7
292,AUSTRIA Hinterstoder,5,7,7,7
293,AUSTRIA Hinterstoder,2,6,7,7
294,GB South Downs Q.E. ,2,3,5,6
295,GB South Downs Q.E. ,2,4,6,7
296,GB South Downs Q.E. ,2,3,5,6
297,GB South Downs Q.E. ,1,2,3,5
298,GB South Downs Q.E. ,1,2,3,6
299,GB South Downs Q.E. ,1,3,4,6
300,BELGIUM Soignes,1,1,4,6
301,BELGIUM Soignes,1,1,2,3
302,BELGIUM Soignes,1,3,5,7
303,BELGIUM Soignes,1,1,2,4
304,BELGIUM Soignes,1,1,4,6
305,BELGIUM Soignes,1,2,2,5
306,CZECH Jablonec NN,2,6,7,7
307,CZECH Jablonec NN,2,6,7,7
308,CZECH Jablonec NN,1,6,6,7
309,CZECH Jablonec NN,1,3,6,7
310,CZECH Jablonec NN,2,4,6,7
311,CZECH Jablonec NN,2,5,6,7
312,South Downs  Q.E. (Control),1,3,4,6
313,South Downs  Q.E. (Control),1,1,3,6
314,South Downs  Q.E. (Control),1,3,5,6
315,South Downs  Q.E. (Control),1,2,3,5
316,South Downs  Q.E. (Control),1,2,5,7
317,South Downs  Q.E. (Control),1,3,5,7
318,FRANCE Picardie,1,2,3,6
319,FRANCE Picardie,1,1,3,5
320,FRANCE Picardie,1,1,2,5
321,FRANCE Picardie,1,2,3,5
322,FRANCE Picardie,1,2,5,6
323,FRANCE Picardie,1,3,5,7
324,LUX Heinerscheid,1,2,2,4
325,LUX Heinerscheid,2,3,5,7
326,LUX Heinerscheid,2,4,6,6
327,LUX Heinerscheid,1,1,2,5
328,LUX Heinerscheid,2,2,3,6
329,LUX Heinerscheid,1,3,5,7
330,GERMANY Farchau,2,3,5,7
331,GERMANY Farchau,2,4,5,7
332,GERMANY Farchau,2,5,6,7
333,GERMANY Farchau,1,3,4,6
334,GERMANY Farchau,1,2,3,6
335,GERMANY Farchau,2,4,6,7
336,SWEDEN Torup,1,2,3,5
337,SWEDEN Torup,2,3,4,6
338,SWEDEN Torup,2,3,3,5
339,SWEDEN Torup,2,4,5,7
340,SWEDEN Torup,2,4,6,7
341,SWEDEN Torup,2,5,6,7
342,FRANCE Bourdure Man,1,2,5,6
343,FRANCE Bourdure Man,2,3,4,6
344,FRANCE Bourdure Man,1,1,2,2
345,FRANCE Bourdure Man,2,3,5,7
346,FRANCE Bourdure Man,1,3,4,6
347,FRANCE Bourdure Man,1,2,3,5
348,South Downs  Q.E. (Control),2,4,5,7
349,South Downs  Q.E. (Control),1,2,3,5
350,South Downs  Q.E. (Control),1,2,2,5
351,South Downs  Q.E. (Control),1,2,2,4
352,South Downs  Q.E. (Control),1,2,3,5
353,South Downs  Q.E. (Control),1,2,2,5
354,CZECH Horni Plana-Ce.,2,4,5,6
355,CZECH Horni Plana-Ce.,2,4,5,7
356,CZECH Horni Plana-Ce.,2,3,5,7
357,CZECH Horni Plana-Ce.,3,6,7,7
358,CZECH Horni Plana-Ce.,1,5,6,7
359,CZECH Horni Plana-Ce.,2,3,6,7
360,"GB Westfield, Moray",1,3,4,6
361,"GB Westfield, Moray",2,4,5,6
362,"GB Westfield, Moray",1,3,5,6
363,"GB Westfield, Moray",2,3,5,7
364,"GB Westfield, Moray",1,3,5,7
365,"GB Westfield, Moray",1,5,7,7
366,South Downs  Q.E. (Control),1,1,2,5
367,South Downs  Q.E. (Control),1,1,2,5
368,South Downs  Q.E. (Control),1,3,5,6
369,South Downs  Q.E. (Control),2,4,6,7
370,South Downs  Q.E. (Control),1,1,2,5
371,South Downs  Q.E. (Control),1,3,6,7
372,CZECH Nizbor,2,5,6,7
373,CZECH Nizbor,2,5,6,7
374,CZECH Nizbor,1,2,3,6
375,CZECH Nizbor,2,3,5,7
376,CZECH Nizbor,2,4,6,7
377,CZECH Nizbor,1,3,4,6
378,"GB Lowther Estate, Cumbria",2,2,3,6
379,"GB Lowther Estate, Cumbria",1,1,3,5
380,"GB Lowther Estate, Cumbria",1,2,2,5
381,"GB Lowther Estate, Cumbria",1,2,3,5
382,"GB Lowther Estate, Cumbria",2,4,5,6
383,"GB Lowther Estate, Cumbria",2,3,5,7
384,GERMANY Farchau,1,2,4,6
385,GERMANY Farchau,2,5,6,7
386,GERMANY Farchau,2,4,5,7
387,GERMANY Farchau,2,5,6,7
388,GERMANY Farchau,1,3,5,7
